"Race Group",Place,Points,"First Name","Last Name","USAC #","Club #",Team,"Current Cat","Racing Age"
"SM 3",1,225,"Primal - Audi Denver",,,23,"Primal - Audi Denver",1,
"SM 3",2,202,"Physio Racing",,,464,"Physio Racing",1,
"SM 3",3,160,"Groove Subaru Excel Sports ",,,5,"Groove Subaru Excel Sports ",3,
"SM 3",4,117,"Palmares Racing",,,693,"Palmares Racing",1,
"SM 3",5,94,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",2,
"SM 3",6,78,"COS Racing",,,558,"COS Racing",2,
"SM 3",7,24,"Team Rio Grande",,,74,"Team Rio Grande",4,
"SM 3",8,11,"Avout Racing",,,446,"Avout Racing",5,
"SM 4",1,253,"Primal - Audi Denver",,,23,"Primal - Audi Denver",3,
"SM 4",2,211,"Palmares Racing",,,693,"Palmares Racing",1,
"SM 4",3,200,"Physio Racing",,,464,"Physio Racing",2,
"SM 4",4,131,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"SM 4",5,124,"Groove Subaru Excel Sports ",,,5,"Groove Subaru Excel Sports ",2,
"SM 4",6,107,"Avout Racing",,,446,"Avout Racing",4,
"SM 4",7,94,"Rage Cycling Team",,,516,"Rage Cycling Team",5,
"SM 4",8,42,"Reynolds Roofing Racing",,,204,"Reynolds Roofing Racing",3,
"SM 4",9,38,"VR7 Colorado Cycling Team",,,569,"VR7 Colorado Cycling Team",4,
"SM 4",10,23,"Team Denver Bicycle Club",,,746,"DBC Racing",5,
"SM 4",11,11,"Sonic Boom Racing",,,75,"Sonic Boom Racing",5,
"JM 13-14",1,77,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"JM 13-14",2,40,"Avout Racing",,,446,"Avout Racing",1,
"JM 15-16",1,97,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"JM 15-16",2,20,"Avout Racing",,,446,"Avout Racing",1,
"JM 17-18",1,54,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",2,
"JM 17-18",1,54,"Rage Cycling Team",,,516,"Rage Cycling Team",1,
"JM 17-18",3,40,"Avout Racing",,,446,"Avout Racing",1,
"SW 1-2",1,114,"CINCH Cycling",,,850,"CINCH Cycling",2,
"SW 1-2",2,80,"ALP Cycles Racing",,,676,"ALP Cycles Racing",1,
"SW 1-2",3,20,"Rage Cycling Team",,,516,"Rage Cycling Team",1,
"SW 1-2",3,20,"Sonic Boom Racing",,,75,"Sonic Boom Racing",1,
"SW 3",1,154,"Palmares Racing",,,693,"Palmares Racing",1,
"SW 3",2,137,"Rage Cycling Team",,,516,"Rage Cycling Team",1,
"SW 3",3,102,"ALP Cycles Racing",,,676,"ALP Cycles Racing",2,
"SW 3",4,37,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"SW 3",5,31,"Colorado Women's Cycling Project",,,201,"Sol Squad p/b Whole Sol",2,
"SW 4",1,137,"Sonic Boom Racing",,,75,"Sonic Boom Racing",1,
"SW 4",2,128,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"SW 4",3,74,"ALP Cycles Racing",,,676,"ALP Cycles Racing",1,
"SW 4",4,60,"Flow Formulas Racing",,,846,"Flow Formulas Racing",1,
"SW 4",5,50,"Physio Racing",,,464,"Physio Racing",1,
"SW 4",6,45,"Palmares Racing",,,693,"Palmares Racing",3,
"SW 4",7,31,"Colorado Women's Cycling Project",,,201,"Sol Squad p/b Whole Sol",2,
"SW 4",8,20,"Twin Peaks Cycling, Inc.",,,52,"Twin Peaks Racing",1,
"SM 5",1,20,"Avout Racing",,,446,"Avout Racing",1,
"SM 5",1,20,"Hammer Racing Team p/b Thorne",,,228,"Hammer Racing Team p/b Thorne",1,
"SM 5",3,17,COBRAS,,,10,COBRAS,2,
"JW 11-12",1,60,"Front Rangers Cycling Club - Denver",,,17,"Front Rangers Cycling Club - Denver",1,
"SM 1-2",1,222,"Primal - Audi Denver",,,23,"Primal - Audi Denver",1,
