"Race Group",Place,Points,"First Name","Last Name","USAC #","Club #",Team,"Current Cat","Racing Age"
"SM 3",1,154,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"SM 3",2,134,"Avout Racing",,,446,"Avout Racing",1,
"SM 3",3,68,"Palmares Racing",,,693,"Palmares Racing",2,
"SM 3",4,31,"Primal - Audi Denver",,,23,"Primal - Audi Denver",2,
"SM 3",5,20,"Colorado Women's Cycling Project",,,201,"Sol Squad p/b Whole Sol",1,
"SM 4",1,211,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"SM 4",2,91,"Avout Racing",,,446,"Avout Racing",2,
"SM 4",3,40,"Primal - Audi Denver",,,23,"Primal - Audi Denver",1,
"SM 4",4,17,"Modern Market Racing p/b GR Capital Partners",,,219,"Modern Market Racing p/b GR Capital Partners",2,
"SM 4",5,14,"Team Denver Bicycle Club",,,746,"DBC Racing",3,
"SW Open",1,148,"Feedback Sports Racing",,,209,"Feedback Sports LLC",1,
"SW Open",2,137,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",2,
"SW Open",3,72,"Rage Cycling Team",,,516,"Rage Cycling Team",3,
"SW Open",4,65,"Black Swift / Cycleton Cycling Team",,,511,"Black Swift / Cycleton Cycling Team",2,
"SW Open",5,45,"Physio Racing",,,464,"Physio Racing",3,
"SW Open",6,20,"Colorado Women's Cycling Project",,,201,"Sol Squad p/b Whole Sol",1,
"SW Open",6,20,"Avout Racing",,,446,"Avout Racing",1,
"JM 13-14",1,239,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",2,
"JM 13-14",2,211,"Avout Racing",,,446,"Avout Racing",1,
"JM 13-14",3,62,"Dawson School",,,194,"Dawson School",3,
"JM 15-16",1,177,"Avout Racing",,,446,"Avout Racing",1,
"JM 15-16",2,51,"Dawson School",,,194,"Dawson School",1,
"JM 15-16",3,37,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",2,
"JM 17-18",1,40,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"JM 17-18",2,17,"Rage Cycling Team",,,516,"Rage Cycling Team",2,
"JW 13-14",1,60,"Dawson School",,,194,"Dawson School",1,
"JW 13-14",1,60,"Avout Racing",,,446,"Avout Racing",1,
"JW 13-14",3,34,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",2,
"JW 15-16",1,60,"Dawson School",,,194,"Dawson School",1,
"JW 15-16",2,20,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"JW 15-16",3,17,"Avout Racing",,,446,"Avout Racing",2,
"JW 17-18",1,40,"Dawson School",,,194,"Dawson School",1,
"JW 17-18",2,20,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"SW 3",1,77,"Dawson School",,,194,"Dawson School",2,
"SW 3",2,60,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"SW 3",3,57,"SQUARE1 Cycling",,,688,"SQUARE1 Cycling",1,
"SW 4",1,80,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"SW 4",2,40,"Dawson School",,,194,"Dawson School",1,
"SW 4",3,20,"Sonic Boom Racing",,,75,"Sonic Boom Racing",1,
"SW 4",4,17,"Avout Racing",,,446,"Avout Racing",2,
SSM,1,125,"Racer X Cycling  / ColoBikeLaw",,,320,"Racer X Cycling  / ColoBikeLaw",1,
SSM,2,100,"Groove Subaru Excel Sports ",,,5,"Groove Subaru Excel Sports ",1,
SSM,3,17,"Sonic Boom Racing",,,75,"Sonic Boom Racing",2,
SSM,3,17,"Feedback Sports Racing",,,209,"Feedback Sports LLC",2,
SSM,5,14,"Modern Market Racing p/b GR Capital Partners",,,219,"Modern Market Racing p/b GR Capital Partners",3,
"SM Open",1,157,"Boulder Junior Cycling",,,164,"Boulder Junior Cycling",1,
"SM Open",2,96,"Avout Racing",,,446,"Avout Racing",2,
